Text,score,label
 ????????�?? ??????????�?? ,0.009233339689671993,0
 Berner Lenny ,0.0055273352190852165,0
 Cheyenne ,0.006048676325008273,0
 LetsGoBrandon!,0.09521771967411041,0
 Tekki the Fairy ,0.010764594189822674,0
 meimei @ ew spoilers,0.006158304866403341,0
 planet mars is team strange .? .?,0.00755650456994772,0
 planet mars is team strange .ᐟ .ᐟ,0.00755650456994772,0
 • M𝖎𝖈𝖍𝖆𝖊𝖑 • ,0.012002617120742798,0
 � M???????????? � ,0.012002617120742798,0
*LIVE* Rexium,0.006457698531448841,0
*mags is celebrating mitch day*,0.03399641951546073,0
- Poppi QT? -,0.005800882121548057,0
- Poppi QTπ -,0.006766348301122586,0
2022 49ers will be cause for day drinking,0.06595863401889801,0
3AW Melbourne,0.0068051498383283615,0
4,0.00943826511502266,0
45+JFKJRISALIVE,0.006157632917165756,0
777,0.008152241818606853,0
= + =,0.006277941167354584,0
?,0.007552208728156984,0
? ?? ? kristine,0.008537797722965479,0
? ?????????????? ?????????????????????? ?||RP,0.005747178724656503,0
? ??bambi: astro brainrot actually???,0.0073199644684791565,0
??,0.030110536608844995,0
?? ?????????????? .? ,0.01946359872817993,0
?? tina,0.005971384700387716,0
?? | fuwa,0.007569500245153904,0
??(((,0.010491060791537166,0
???,0.007822728715837002,0
??? ???,0.03384558390825987,0
??? ???????????,0.008135802112519741,0
???'??* ,0.007038558833301067,0
????,0.03589253593236208,0
???? ????,0.050549231469631195,0
????? ?????????,0.0077031191904097795,0
??????,0.020176948606967927,0
?????? ????????????,0.050549231469631195,0
????????,0.18174088245723397,0
???????? ?.?????,0.00961168110370636,0
???????? ????? ??????? josh,0.0077839018777012825,0
???????? ??????????????,0.006524290191009641,0
???????? ????????????????????,0.8839489221572876,1
????????!,0.010051550623029471,0
?????????? ,0.008164944127202034,0
?????????? #BELIEVEBRITNEY #FREEKESHA #FREEAMANDA,0.015456726308912039,0
?????????? ???? ??????????,0.010235367342829704,0
???????????,0.012621976302138396,0
????????????,0.09629526734352112,0
????????????.??.????????-?,0.007601821329444647,0
?????????????? ????????????.,0.0135387247428298,0
?????????????????? ???????????????? ?????? (H),0.012408089824020863,0
???????????????????? ????????????,0.011477931402623653,0
?????????????????????????????? ?,0.009528874419629574,0
????@?�????????,0.050549231469631195,0
????�??????????,0.013260429725050926,0
??D PILL L?D ,0.014726469293236732,0
?LEADER OF OLD SPORT CULT?,0.006354242563247681,0
?Ms,0.1482224278151989,0
?Raskolnikov?,0.007109062280505896,0
A View From the Peanut Gallery,0.008439650759100914,0
A mais bela,0.006566053256392479,0
ABC News,0.006052681511001927,0
ABC7 News,0.007557151839137077,0
ALASTAIR CAMPBELL,0.015829775482416153,0
